start	end	text
427380	429960	就是告诉你agent有联网的能力
429960	432840	他可以帮你去搜寻东西
432840	434520	并且归纳总结东西
434520	437100	然后他就像
437100	439720	他在用我的那个brave浏览器
439720	441520	我先打开看一下
441520	444340	ok然后这是
444340	447240	这应该是他的操作
447240	448760	我是没有做任何操作的
448760	450520	然后
450520	452520	然后
457320	460520	他说找到了164个bc
462520	463520	然后
472520	474520	然后各种
480520	482520	哦
482520	484520	他没法点开这个页面
484520	486520	可能是被小龙叔给
486520	488520	拦截了
488520	490520	然后他说哦
490520	492520	直接访问这个URL是不行的
492520	494520	然后他会怎么做呢
494520	496520	他可能会换一种方法去做
496520	498520	因为他需要看笔记内容
498520	500520	对吧
510520	517520	這個可能需要的時間會久一點
517520	529520	他終於看到了,剛才一閃而過了
529520	532520	他已經看完冰盤那個筆記給關掉了
540520	568520	OK,然後你可以看到左上角這裡,他又看了下一篇文章,他一直在看新文章,然後你看,一直在看,然後這就是他在代替你做調研,
568520	569680	然后
569680	575040	这个其实我们有时候用那个
575040	578180	什么deep seek啊
578180	579880	或者是豆包啊
579880	581100	它有联网能力
581100	581560	对不对
581560	585860	但是作为你的个人AI agent
585860	587440	活在你的电脑里面呢
587440	589020	它有一个优势
589020	591320	是它可以使用你
591320	595100	真实浏览器去访问东西
595100	596700	并且它有登录状态
596700	598060	它有我的登录状态
598060	601240	那这样子像小红书
601240	603420	像X
603420	606240	或者像类似的一些
606240	610460	其他的封闭的网站
610460	613700	他也可以去访问
613700	618340	而且没那么容易被触发反爬虫
618340	624660	并且
624660	627500	OK他已经做完调研了
627500	628780	然后他自动把这个
629300	630820	Ulan窗口给关掉
634660	637480	OK然后这就是他的一些
638000	638500	结论
641580	644400	然后一些坑blahblahblah
647220	647980	材料
648240	649260	只带几样
649520	651060	多焦反而坏事
651560	653360	大家踩过具体的坑
654120	656420	照片不能和护照上的一样
657500	658060	哦
658060	662000	然后
662000	663580	OK就是这样
663580	665860	然后甚至最后他说
665860	673360	他建议要不要把这些细节都放在我那个笔记里面
673360	677100	因为其实我之前就已经有跟他在聊过这个事情
677100	682020	甚至当时我填那个签证事情表的时候呢
682020	683160	我有很多东西不懂
683160	684420	我是一边跟他在聊
684420	685160	一边去填
685160	686920	一边他网上搜资料
686920	687860	一边教我怎么做
687860	690940	所以我们之前已经有过一些积累了
690940	694640	然后他现在建议要不要把这些新的坑也写进去
694640	700440	其实就这样
700440	702340	在我看来
702340	707920	你只需要给这两个能力给agent
707920	710020	第一个
710020	715020	就是给他一个稳定的可以存东西的地方
715020	717800	然后他每次开启新绘画
717800	720860	他都能够稳定的抓取
720860	723300	第二点
723300	727100	就是给他联网的能力
727100	735180	就已经能够帮你做很多事情了
735180	740460	其实我是想要做一期稍微小白一点的视频
740460	742340	但是我知道其实就算是这样
742340	744260	可能也会有门槛
744260	749580	不过可能假如这个东西有人看的话
749580	753040	我接下来会再做一期更小白的
753040	754300	或者是更深入的视频
754300	755840	先这样吧
755840	756440	拜拜
